Rank,Company,Valuation,Country,Sector,Industry
1,Tencent Holdings Ltd,41170000000, China, Communication Services, Internet Content & Information
2,Kweichow Moutai Co. Ltd,48220000000, China, Consumer Staples, Beverages—Wineries & Distilleries
3,Alibaba Group Holding Limited,90400000000, China, Consumer Discretionary, Internet Retail
4,Industrial & Commercial Bank of China Ltd,50370000000, China, Financials, Banks
5,China Construction Bank Corp,89370000000, China, Financials, Banks
6,China Merchants Bank Co Ltd,85980000000, China, Financials, Banks
7,Contemporary Amperex Technology Co. Ltd,85670000000, China, Industrials, Electrical Equipment & Parts
8,Agricultural Bank of China Ltd,65000000000, China, Financials, Banks
9,PetroChina Company Limited,44500000000, China, Energy, Oil & Gas Integrated
10,Bank of China Ltd,41220000000, China, Financials, Banks
11,Ping An Insurance (Group) Company of China Ltd,34250000000, China, Financials, Insurance—Life
12,Meituan,14280000000, China, Consumer Discretionary, Internet Retail
13,BYD Co Ltd,4420000000, China, Consumer Discretionary, Auto Manufacturers
14,China Life Insurance Company Limited,7310000000, China, Financials, Insurance—Life
15,China Shenhua Energy Company Ltd,5340000000, China, Energy, Thermal Coal
16,"JD.com, Inc.",460000000, China, Consumer Discretionary, Internet Retail
17,China Yangtze Power Co. Ltd,8420000000, China, Utilities, Utilities—Independent Power Producers
18,China Petroleum & Chemical Corporation,8390000000, China, Energy, Oil & Gas Integrated
19,Industrial Bank Co. Ltd,6870000000, China, Financials, Banks
20,"NetEase, Inc.",9760000000, China, Communication Services, Internet Content & Information
21,Nongfu Spring Co. Ltd,9500000000, China, Consumer Staples, Beverages—Non-Alcoholic
22,Shenzhen Mindray Bio-Medical Electronics Co. Ltd,9260000000, China, Healthcare, Medical Devices
23,Foshan Haitian Flavouring and Food Company Ltd,7400000000, China, Consumer Staples, Packaged Foods
24,Pinduoduo Inc.,7090000000, China, Consumer Discretionary, Internet Retail
25,Bank of Communications Co. Ltd,6380000000, China, Financials, Banks
26,China Tourism Group Duty Free Corp Ltd,460000000, China, Consumer Discretionary, Travel Services
27,"Baidu, Inc.",5980000000, China, Communication Services, Internet Content & Information
28,Zijin Mining Group Co Ltd,3930000000, China, Basic Materials, Gold
29,Xiaomi Corp,3100000000, China, Technology, Consumer Electronics
30,Yihai Kerry Arawana Holdings Co. Ltd,2840000000, China, Consumer Staples, Packaged Foods
31,LONGi Green Energy Technology Co. Ltd,2680000000, China, Technology, Semiconductor Equipment & Materials
32,WuXi AppTec Co. Ltd,2250000000, China, Healthcare, Diagnostics & Research
33,"East Money Information Co.,Ltd.",830000000, China, Communication Services, Internet Content & Information
34,CITIC Securities Company Ltd,170000000, China, Financials, Capital Markets
35,Wanhua Chemical Group Co. Ltd,9730000000, China, Basic Materials, Chemicals
36,Kuaishou Technology,8150000000, China, Communication Services, Broadcasting
37,Jiangsu Hengrui Medicine Co. Ltd,6900000000, China, Healthcare, Drug Manufacturers—General
38,"Beijing-Shanghai High-Speed Railway Co.,Ltd.",6900000000, China, Industrials, Railroads
39,Shanghai Pudong Development Bank Co. Ltd,6720000000, China, Financials, Banks
40,Inner Mongolia Yili Industrial Group Co. Ltd,6610000000, China, Consumer Staples, Packaged Foods
41,NIO Limited,5860000000, China, Consumer Discretionary, Auto Manufacturers
42,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",5840000000, China, Consumer Staples, Beverages—Wineries & Distilleries
43,China CITIC Bank Corp Ltd,4840000000, China, Financials, Banks
44,Chongqing Zhifei Biological Products Co. Ltd,4130000000, China, Healthcare, Biotechnology
45,Poly Developments and Holdings Group Co. Ltd,3640000000, China, Real Estate, Real Estate—Development
46,China Vanke Co. Ltd,3350000000, China, Real Estate, Real Estate—Development
47,WuXi Biologics,2410000000, China, Healthcare, Biotechnology
48,Haier Smart Home Co Ltd,2310000000, China, Consumer Discretionary," Furnishings, Fixtures & Appliances"
49,ANTA Sports Products Ltd,2200000000, China, Consumer Discretionary, Leisure
50,Great Wall Motor Co Ltd,2010000000, China, Consumer Discretionary, Auto Manufacturers
1,Apple Inc.,8.25E+11, United States, Technology, Consumer Electronics
2,Microsoft Corporation,3.28E+11, United States, Technology, Software—Infrastructure
3,Alphabet Inc.,8.25E+11, United States, Communication Services, Internet Content & Information
4,"Amazon.com, Inc.",6.42E+11, United States, Consumer Discretionary, Internet Retail
5,"Tesla, Inc.",16000000000, United States, Consumer Discretionary, Auto Manufacturers
6,Berkshire Hathaway Inc.,98470000000, United States, Financials, Financial Conglomerates
7,Nvidia Corporation,60380000000, United States, Technology, Semiconductors
8,"Meta Platforms, Inc.",17500000000, United States, Communication Services, Internet Content & Information
9,UnitedHealth Group Incorporated,88520000000, United States, Healthcare, Healthcare Plans
10,Visa Inc.,86770000000, United States, Financials, Credit Services
11,Johnson & Johnson,75930000000, United States, Healthcare, Drug Manufacturers—General
12,Walmart Inc.,29050000000, United States, Consumer Staples, Discount Stores
13,JPMorgan Chase & Co.,10840000000, United States, Financials, Banks
14,The Procter & Gamble Company,84600000000, United States, Consumer Staples, Household & Personal Products
15,Mastercard Incorporated,58600000000, United States, Financials, Credit Services
16,Bank of America Corporation,50840000000, United States, Financials, Banks
17,Exxon Mobil Corporation,48720000000, United States, Energy, Oil & Gas Integrated
18,"The Home Depot, Inc.",21470000000, United States, Consumer Discretionary, Home Improvement Retail
19,Chevron Corporation,15130000000, United States, Energy, Oil & Gas Integrated
20,Pfizer Inc.,790000000, United States, Healthcare, Drug Manufacturers—General
21,AbbVie Inc.,94270000000, United States, Healthcare, Drug Manufacturers—General
22,The Coca-Cola Company,73200000000, United States, Consumer Staples, Beverages—Non-Alcoholic
23,Eli Lilly and Company,73010000000, United States, Healthcare, Drug Manufacturers—General
24,Broadcom Inc.,65270000000, United States, Technology, Semiconductors
25,Costco Wholesale Corporation,58150000000, United States, Consumer Staples, Discount Stores
26,The Walt Disney Company,47880000000, United States, Communication Services, Entertainment
27,"PepsiCo, Inc.",41050000000, United States, Consumer Staples, Beverages—Non-Alcoholic
28,"Cisco Systems, Inc.",38450000000, United States, Technology, Communication Equipment
29,Thermo Fisher Scientific Inc.,36150000000, United States, Healthcare, Diagnostics & Research
30,Oracle Corporation,28180000000, United States, Technology, Software—Infrastructure
31,Comcast Corporation,18900000000, United States, Communication Services, Entertainment
32,Verizon Communications Inc.,16680000000, United States, Communication Services, Telecom Services
33,Abbott Laboratories,15020000000, United States, Healthcare, Medical Devices
34,"Nike, Inc.",13600000000, United States, Consumer Discretionary, Footwear & Accessories
35,"Merck & Co., Inc.",10380000000, United States, Healthcare, Drug Manufacturers—General
36,Danaher Corporation,8030000000, United States, Healthcare, Diagnostics & Research
37,Intel Corporation,1720000000, United States, Technology, Semiconductors
38,Wells Fargo & Company,10000000, United States, Financials, Banks
39,Adobe Inc.,99570000000, United States, Technology, Software—Infrastructure
40,"salesforce.com, inc.",93800000000, United States, Technology, Software—Application
41,"United Parcel Service, Inc.",90500000000, United States, Industrials, Integrated Freight & Logistics
42,McDonald's Corporation,86570000000, United States, Consumer Discretionary, Restaurants
43,Union Pacific Corporation,84190000000, United States, Industrials, Railroads
44,AT&T Inc.,75880000000, United States, Communication Services, Telecom Services
45,Qualcomm Incorporated,72250000000, United States, Technology, Semiconductors
46,Texas Instruments Incorporated,71280000000, United States, Technology, Semiconductors
47,Bristol-Myers Squibb Company,70560000000, United States, Healthcare, Drug Manufacturers—General
48,"NextEra Energy, Inc.",65530000000, United States, Utilities, Utilities—Regulated Electric
49,"T-Mobile US, Inc.",64310000000, United States, Communication Services, Telecom Services
50,Morgan Stanley,64050000000, United States, Financials, Capital Markets
1,SAP SE,34190000000, Germany, Technology, Software—Application
2,Siemens AG,14660000000, Germany, Industrials, Specialty Industrial Machinery
3,Volkswagen AG,8630000000, Germany, Consumer Discretionary, Auto Manufacturers
4,Daimler AG,8790000000, Germany, Consumer Discretionary, Auto Manufacturers
5,Allianz SE,8470000000, Germany, Financials, Insurance—Diversified
6,Deutsche Telekom AG,3010000000, Germany, Communication Services, Telecom Services
7,MERCK Kommanditgesellschaft auf Aktien,740000000, Germany, Healthcare, Drug Manufacturers—Specialty & Generic
8,Siemens Healthineers AG,1500000000, Germany, Healthcare, Diagnostics & Research
9,Bayer AG,8090000000, Germany, Healthcare, Drug Manufacturers—General
10,Hapag-Lloyd AG,1460000000, Germany, Industrials, Marine Shipping
11,Deutsche Post AG,9800000000, Germany, Industrials, Integrated Freight & Logistics
12,Bayerische Motoren Werke AG,6170000000, Germany, Consumer Discretionary, Auto Manufacturers
13,BASF SE,2760000000, Germany, Basic Materials, Chemicals
14,adidas AG,6130000000, Germany, Consumer Discretionary, Footwear & Accessories
15,Infineon Technologies AG,5350000000, Germany, Technology, Semiconductors
16,BioNTech SE,1930000000, Germany, Healthcare, Biotechnology
17,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,6890000000, Germany, Financials, Insurance—Reinsurance
18,Deutsche Börse AG,2990000000, Germany, Financials, Financial Data & Stock Exchanges
19,E.ON SE,1120000000, Germany, Utilities, Utilities—Diversified
20,Henkel AG & Co KGaA,530000000, Germany, Consumer Staples, Household & Personal Products
21,RWE AG,9060000000, Germany, Utilities, Utilities—Diversified
22,Porsche Automobil Holding SE,8150000000, Germany, Consumer Discretionary, Auto Manufacturers
23,Sartorius AG,7350000000, Germany, Healthcare, Medical Instruments & Supplies
24,Vonovia SE,6780000000, Germany, Real Estate, Real Estate Services
25,Deutsche Bank AG,6380000000, Germany, Financials, Banks
26,EnBW Energie Baden-Wuerttemberg AG,5820000000, Germany, Utilities, Utilities—Diversified
27,Fresenius SE & Co KGaA,4120000000, Germany, Healthcare, Medical Care Facilities
28,Beiersdorf AG,3510000000, Germany, Consumer Staples, Household & Personal Products
29,Hannover Rück SE,20000000, Germany, Financials, Insurance—Reinsurance
30,Fresenius Medical Care AG & Co. KGaA,9420000000, Germany, Healthcare, Medical Care Facilities
31,Symrise AG,6220000000, Germany, Basic Materials, Specialty Chemicals
32,Continental AG,4470000000, Germany, Consumer Discretionary, Auto Parts
33,Siemens Energy AG,4210000000, Germany, Utilities, Utilities—Independent Power Producers
34,Carl Zeiss Meditec AG,4130000000, Germany, Healthcare, Medical Instruments & Supplies
35,Evonik Industries AG,2940000000, Germany, Basic Materials, Specialty Chemicals
36,Zalando SE,2840000000, Germany, Consumer Discretionary, Internet Retail
37,Puma SE,2800000000, Germany, Consumer Discretionary, Footwear & Accessories
38,MAN SE,2600000000, Germany, Industrials, Farm & Heavy Construction Machinery
39,Knorr-Bremse AG,2450000000, Germany, Consumer Discretionary, Auto Parts
40,MTU Aero Engines AG,2330000000, Germany, Industrials, Aerospace & Defense
41,Brenntag AG,2300000000, Germany, Basic Materials, Specialty Chemicals
42,Deutsche Wohnen SE,1400000000, Germany, Real Estate, Real Estate—Development
43,HeidelbergCement AG,1310000000, Germany, Basic Materials, Building Materials
44,Delivery Hero SE,1110000000, Germany, Consumer Discretionary, Internet Retail
45,Talanx AG,1060000000, Germany, Financials, Insurance—Diversified
46,Nemetschek SE,960000000, Germany, Technology, Software—Application
47,Covestro AG,980000000, Germany, Basic Materials, Specialty Chemicals
48,Commerzbank AG,660000000, Germany, Financials, Banks
49,Uniper SE,510000000, Germany, Utilities, Utilities—Independent Power Producers
50,Rheinmetall AG,190000000, Germany, Industrials, Industrial Distribution
1,Sony Group Corporation,26640000000, Japan, Technology, Consumer Electronics
2,Keyence Corp,13200000000, Japan, Technology, Scientific & Technical Instruments
3,Nippon Telegraph & Telephone Corp,3750000000, Japan, Communication Services, Telecom Services
4,"Mitsubishi UFJ Financial Group, Inc.",5030000000, Japan, Financials, Banks
5,Tokyo Electron Ltd,9620000000, Japan, Technology, Semiconductor Equipment & Materials
6,KDDI Corp,3120000000, Japan, Communication Services, Telecom Services
7,Recruit Holdings Co Ltd,8110000000, Japan, Industrials, Staffing & Employment Services
8,Oriental Land Co. Ltd,4660000000, Japan, Consumer Discretionary, Leisure
9,Shin-Etsu Chemical Co Ltd,3430000000, Japan, Basic Materials, Chemicals
10,Nintendo Co Ltd,2200000000, Japan, Communication Services, Electronic Gaming & Multimedia
11,Mitsubishi Corp,7230000000, Japan, Industrials, Conglomerates
12,"Daikin Industries,Ltd.",5580000000, Japan, Industrials, Building Products & Equipment
13,Chugai Pharmaceutical Co. Ltd,5310000000, Japan, Healthcare, Drug Manufacturers—General
14,SoftBank Group Corp.,4930000000, Japan, Communication Services, Telecom Services
15,Fast Retailing Co. Ltd,2290000000, Japan, Consumer Discretionary, Apparel Retail
16,ITOCHU Corp,2190000000, Japan, Industrials, Conglomerates
17,DENSO Corp,1580000000, Japan, Consumer Discretionary, Auto Parts
18,Toyota Motor Corporation,1550000000, Japan, Consumer Discretionary, Auto Manufacturers
19,"Honda Motor Co., Ltd.",9110000000, Japan, Consumer Discretionary, Auto Manufacturers
20,Hitachi Ltd,8920000000, Japan, Industrials, Conglomerates
21,Nidec Corp,6330000000, Japan, Industrials, Specialty Industrial Machinery
22,Takeda Pharmaceutical Company Limited,5890000000, Japan, Healthcare, Drug Manufacturers—Specialty & Generic
23,Mitsui & Co. Ltd,5090000000, Japan, Energy, Oil & Gas E&P
24,"Sumitomo Mitsui Financial Group, Inc.",4060000000, Japan, Financials, Banks
25,Murata Manufacturing Co. Ltd,3410000000, Japan, Technology, Electronic Components
26,HOYA Corp,2880000000, Japan, Healthcare, Medical Instruments & Supplies
27,Seven & i Holdings Co. Ltd,2530000000, Japan, Consumer Staples, Grocery Stores
28,EQT AB,9710000000, Japan, Financials, Asset Management
29,Daiichi Sankyo Company Ltd,7790000000, Japan, Healthcare, Drug Manufacturers—General
30,SMC Corp,7080000000, Japan, Industrials, Specialty Industrial Machinery
31,"Tokio Marine Holdings, Inc.",6990000000, Japan, Financials, Insurance—Property & Casualty
32,Z Holdings Corp,4240000000, Japan, Consumer Discretionary, Internet Retail
33,FANUC Corp,3680000000, Japan, Industrials, Specialty Industrial Machinery
34,"Mizuho Financial Group, Inc.",3470000000, Japan, Financials, Banks
35,"JAPAN POST BANK Co.,Ltd.",1930000000, Japan, Financials, Banks
36,"Japan Tobacco, Inc.",1590000000, Japan, Consumer Staples, Tobacco
37,Japan Post Holdings Co. Ltd,1410000000, Japan, Financials, Banks
38,Fujitsu Ltd,280000000, Japan, Technology, Information Technology Services
39,"Astellas Pharma, Inc.",9220000000, Japan, Healthcare, Drug Manufacturers—General
40,NTT Data Corp,7260000000, Japan, Technology, Information Technology Services
41,Bridgestone Corp,6880000000, Japan, Consumer Discretionary, Auto Parts
42,Canon Inc.,6380000000, Japan, Technology, Computer Hardware
43,Central Japan Railway Co,6000000000, Japan, Industrials, Railroads
44,Mitsubishi Electric Corporation,5610000000, Japan, Industrials, Electrical Equipment & Parts
45,FUJIFILM Holdings Corp,4120000000, Japan, Industrials, Business Equipment & Supplies
46,ORIX Corporation,3970000000, Japan, Financials, Credit Services
47,"M3, Inc.",3890000000, Japan, Healthcare, Health Information Services
48,Kubota Corp,3460000000, Japan, Industrials, Farm & Heavy Construction Machinery
49,Terumo Corp,3160000000, Japan, Healthcare, Medical Instruments & Supplies
50,Olympus Corp,3000000000, Japan, Healthcare, Medical Instruments & Supplies
1,Shell plc,7680000000, United Kingdom, Energy, Oil & Gas Integrated
2,AstraZeneca plc,1750000000, United Kingdom, Healthcare, Drug Manufacturers—General
3,Linde plc,66070000000, United Kingdom, Basic Materials, Specialty Chemicals
4,HSBC Holdings plc,40150000000, United Kingdom, Financials, Banks
5,Rio Tinto Group,25840000000, United Kingdom, Basic Materials, Other Industrial Metals & Mining
6,Unilever plc,17840000000, United Kingdom, Consumer Staples, Household & Personal Products
7,Diageo plc,15580000000, United Kingdom, Consumer Staples, Beverages—Wineries & Distilleries
8,GlaxoSmithKline plc,9980000000, United Kingdom, Healthcare, Drug Manufacturers—General
9,British American Tobacco plc,1440000000, United Kingdom, Consumer Staples, Tobacco
10,BP plc,6240000000, United Kingdom, Energy, Oil & Gas Integrated
11,Aon Plc,3330000000, United Kingdom, Financials, Insurance Brokers
12,Anglo American plc,1480000000, United Kingdom, Basic Materials, Other Industrial Metals & Mining
13,Reckitt Benckiser Group plc,9530000000, United Kingdom, Consumer Staples, Household & Personal Products
14,RELX plc,8530000000, United Kingdom, Communication Services, Publishing
15,IHS Markit Ltd.,6940000000, United Kingdom, Industrials, Consulting Services
16,National Grid plc,5880000000, United Kingdom, Utilities, Utilities—Diversified
17,London Stock Exchange Group plc,3330000000, United Kingdom, Financials, Financial Data & Stock Exchanges
18,General Accident plc,1430000000, United Kingdom, Financials, Insurance—Property & Casualty
19,Vodafone Group plc,5740000000, United Kingdom, Communication Services, Telecom Services
20,Lloyds Banking Group plc,3700000000, United Kingdom, Financials, Banks
21,Prudential plc,9000000000, United Kingdom, Financials, Insurance—Life
22,Compass Group plc,7730000000, United Kingdom, Consumer Discretionary, Restaurants
23,NatWest Group plc,2720000000, United Kingdom, Financials, Banks
24,Barclays plc,2190000000, United Kingdom, Financials, Banks
25,Ferguson plc,520000000, United Kingdom, Industrials, Industrial Distribution
26,BAE Systems plc,510000000, United Kingdom, Industrials, Aerospace & Defense
27,Willis Towers Watson plc,9850000000, United Kingdom, Financials, Insurance Brokers
28,Ashtead Group plc,8280000000, United Kingdom, Industrials, Rental & Leasing Services
29,Tesco plc,8110000000, United Kingdom, Consumer Staples, Grocery Stores
30,BT Group plc,4090000000, United Kingdom, Communication Services, Telecom Services
31,SSE plc,3730000000, United Kingdom, Utilities, Utilities—Diversified
32,Coca-Cola Europacific Partners plc,2530000000, United Kingdom, Consumer Staples, Beverages—Non-Alcoholic
33,CNH Industrial N.V.,1930000000, United Kingdom, Industrials, Farm & Heavy Construction Machinery
34,Legal & General Group plc,1340000000, United Kingdom, Financials, Insurance—Life
